Name,Datatype,Length,Precision,Not-null,Status
EXTN_ATTRIBUTE_TIMESTAMP006,TIMESTAMP,,,,
EXTN_ATTRIBUTE_NUMBER009,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER010,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER011,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER012,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER013,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER014,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER015,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER016,NUMBER,,,,
EXTN_ATTRIBUTE_CHAR015,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR016,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR017,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR018,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR019,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR020,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR021,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR022,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR023,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR024,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR025,VARCHAR2,1500,,,
